channels,hardware,backend,block_depth,stratas,image_size,HtoD Avg (ms),DtoH Avg (ms),Kernel Time (ms)
1,a6000,cuda,2,4,512,0.29,0.08,112.91
1,a6000,cuda,2,4,1024,0.29,0.42,160.19
1,a6000,cuda,2,4,2048,0.29,1.75,557.3
1,a6000,cuda,2,5,256,1.2,0.02,74.82
1,a6000,cuda,2,5,512,1.2,0.08,161.47
1,a6000,cuda,2,5,1024,1.26,0.43,211.08
1,a6000,cuda,2,5,2048,1.18,1.75,715.77
1,a6000,cuda,3,2,256,0.02,0.02,20.07
1,a6000,cuda,3,2,512,0.02,0.08,37.03
1,a6000,cuda,3,2,1024,0.02,0.36,108.48
1,a6000,cuda,3,2,2048,0.02,1.72,397.7
1,a6000,cuda,3,3,256,0.1,0.02,52.89
1,a6000,cuda,3,3,512,0.1,0.08,95.59
1,a6000,cuda,3,3,1024,0.1,0.4,175.71
1,a6000,cuda,3,3,2048,0.1,1.75,616.82
1,a6000,cuda,3,4,256,0.44,0.02,82.94
1,a6000,cuda,3,4,512,0.42,0.08,183.97
1,a6000,cuda,3,4,1024,0.42,0.41,240.63
1,a6000,cuda,3,4,2048,0.44,1.74,823.7
1,a6000,cuda,3,5,256,1.73,0.02,109.17
1,a6000,cuda,3,5,512,1.77,0.08,266.53
1,a6000,cuda,3,5,1024,1.72,0.4,312.52
1,a6000,cuda,3,5,2048,1.76,1.75,1050.25
1,a6000,cuda,4,2,256,0.03,0.02,27.73
1,a6000,cuda,4,2,512,0.03,0.08,50.61
1,a6000,cuda,4,2,1024,0.03,0.4,147.55
1,a6000,cuda,4,2,2048,0.03,1.75,538.35
1,a6000,cuda,4,3,256,0.13,0.02,70.41
1,a6000,cuda,4,3,512,0.13,0.08,129.84
1,a6000,cuda,4,3,1024,0.13,0.41,236.09
1,a6000,cuda,4,3,2048,0.14,1.76,815.45
1,a6000,cuda,4,4,256,0.55,0.02,110.59
1,a6000,cuda,4,4,512,0.55,0.08,254.86
1,a6000,cuda,4,4,1024,0.56,0.42,319.44
1,a6000,cuda,4,4,2048,0.55,1.77,1087.61
1,a6000,cuda,4,5,256,2.34,0.02,144.26
1,a6000,cuda,4,5,512,2.27,0.08,371.36
1,a6000,cuda,4,5,1024,2.26,0.43,412.45
1,a6000,cuda,4,5,2048,2.32,1.74,1384.01
1,a6000,cuda,5,2,256,0.04,0.02,35.2
1,a6000,cuda,5,2,512,0.04,0.08,64.02
1,a6000,cuda,5,2,1024,0.04,0.41,185.97
1,a6000,cuda,5,2,2048,0.04,1.75,680.04
1,a6000,cuda,5,3,256,0.17,0.02,88.11
1,a6000,cuda,5,3,512,0.17,0.08,164.2
1,a6000,cuda,5,3,1024,0.17,0.42,294.05
1,a6000,cuda,5,3,2048,0.17,1.74,1013.94
1,a6000,cuda,5,4,256,0.69,0.02,137.43
1,a6000,cuda,5,4,512,0.68,0.08,325.83
1,a6000,cuda,5,4,1024,0.69,0.42,398.76
1,a6000,cuda,5,4,2048,0.69,1.73,1355.39
1,a6000,cuda,5,5,256,2.79,0.02,179.15
1,a6000,cuda,5,5,512,2.8,0.08,475.97
1,a6000,cuda,5,5,1024,3.01,0.4,513.76
1,a6000,cuda,5,5,2048,2.78,1.79,1720.03
1,a6000,tensorrt,2,2,256,0.02,0.02,1.0
1,a6000,tensorrt,2,2,512,0.02,0.08,3.73
1,a6000,tensorrt,2,2,1024,0.02,0.4,14.72
1,a6000,tensorrt,2,2,2048,0.02,1.74,61.38
1,a6000,tensorrt,2,3,256,0.07,0.02,1.58
1,a6000,tensorrt,2,3,512,0.07,0.08,6.02
1,a6000,tensorrt,2,3,1024,0.07,0.4,23.62
1,a6000,tensorrt,2,3,2048,0.07,1.78,96.59
1,a6000,tensorrt,2,4,256,0.33,0.02,2.24
1,a6000,tensorrt,2,4,512,0.29,0.08,8.2
1,a6000,tensorrt,2,4,1024,0.29,0.4,31.37
1,a6000,tensorrt,2,4,2048,0.29,1.75,126.53
1,a6000,tensorrt,2,5,256,1.62,0.02,3.12
1,a6000,tensorrt,2,5,512,1.18,0.08,10.17
1,a6000,tensorrt,2,5,1024,1.19,0.39,39.37
1,a6000,tensorrt,2,5,2048,1.28,1.75,155.37
1,a6000,tensorrt,3,2,256,0.03,0.02,1.45
1,a6000,tensorrt,3,2,512,0.03,0.08,5.59
1,a6000,tensorrt,3,2,1024,0.02,0.39,22.34
1,a6000,tensorrt,3,2,2048,0.03,1.76,92.03
1,a6000,tensorrt,3,3,256,0.1,0.02,2.24
1,a6000,tensorrt,3,3,512,0.1,0.08,8.72
1,a6000,tensorrt,3,3,1024,0.11,0.4,33.86
1,a6000,tensorrt,3,3,2048,0.1,1.79,137.94
1,a6000,tensorrt,3,4,256,0.47,0.02,3.17
1,a6000,tensorrt,3,4,512,0.43,0.08,11.65
1,a6000,tensorrt,3,4,1024,0.47,0.4,44.63
1,a6000,tensorrt,3,4,2048,0.44,1.79,179.3
1,a6000,tensorrt,3,5,256,2.56,0.02,4.37
1,a6000,tensorrt,3,5,512,1.83,0.08,14.43
1,a6000,tensorrt,3,5,1024,1.82,0.4,55.86
1,a6000,tensorrt,3,5,2048,1.74,1.76,219.66
1,a6000,tensorrt,4,2,256,0.03,0.02,1.9
1,a6000,tensorrt,4,2,512,0.03,0.08,7.43
1,a6000,tensorrt,4,2,1024,0.04,0.39,29.57
1,a6000,tensorrt,4,2,2048,0.04,1.74,121.74
1,a6000,tensorrt,4,3,256,0.14,0.02,2.89
1,a6000,tensorrt,4,3,512,0.14,0.08,11.41
1,a6000,tensorrt,4,3,1024,0.14,0.4,44.32
1,a6000,tensorrt,4,3,2048,0.14,1.76,179.57
1,a6000,tensorrt,4,4,256,0.61,0.02,4.08
1,a6000,tensorrt,4,4,512,0.56,0.08,15.17
1,a6000,tensorrt,4,4,1024,0.57,0.4,57.75
1,a6000,tensorrt,4,4,2048,0.57,1.76,233.3
1,a6000,tensorrt,4,5,256,3.27,0.02,5.69
1,a6000,tensorrt,4,5,512,2.26,0.08,18.71
1,a6000,tensorrt,4,5,1024,2.26,0.4,71.99
1,a6000,tensorrt,4,5,2048,2.31,1.39,283.29
1,a6000,tensorrt,5,2,256,0.04,0.02,2.34
1,a6000,tensorrt,5,2,512,0.04,0.08,9.25
1,a6000,tensorrt,5,2,1024,0.04,0.39,36.9
1,a6000,tensorrt,5,2,2048,0.04,1.78,151.83
1,a6000,tensorrt,5,3,256,0.18,0.02,3.55
1,a6000,tensorrt,5,3,512,0.18,0.08,14.06
1,a6000,tensorrt,5,3,1024,0.19,0.4,54.35
1,a6000,tensorrt,5,3,2048,0.18,1.72,221.7
1,a6000,tensorrt,5,4,256,0.74,0.02,5.0
1,a6000,tensorrt,5,4,512,0.7,0.08,18.59
1,a6000,tensorrt,5,4,1024,0.71,0.4,70.63
1,a6000,tensorrt,5,4,2048,0.71,1.78,284.45
1,a6000,tensorrt,5,5,256,4.16,0.02,6.99
1,a6000,tensorrt,5,5,512,2.92,0.08,22.9
1,a6000,tensorrt,5,5,1024,2.84,0.4,87.79
1,a6000,tensorrt,5,5,2048,2.83,1.42,346.81
3,a4000,cuda,2,2,256,0.01,0.06,21.69
3,a4000,cuda,2,2,512,0.01,0.32,40.35
3,a4000,cuda,2,2,1024,0.01,1.34,116.11
3,a4000,cuda,2,2,2048,0.01,5.3,526.89
3,a4000,cuda,2,3,256,0.07,0.06,45.7
3,a4000,cuda,2,3,512,0.07,0.34,65.84
3,a4000,cuda,2,3,1024,0.07,1.35,196.4
3,a4000,cuda,2,3,2048,0.07,5.24,793.91
